611e5c3a58a3c2b78385556368c5230e,scanoss,webhook,1.0,https://github.com/scanoss/webhook/archive/1.0.tar.gz
3d80e2225ec1b104ee6828b264c291e7,org.eclipse.xtend,org.eclipse.xtend.core,2.24.0,https://repo1.maven.org/maven2/org/eclipse/xtend/org.eclipse.xtend.core/2.24.0/org.eclipse.xtend.core-2.24.0-sources.jar
3d80e2225ec1b104ee6828b264c291e7,org.eclipse.xtend,org.eclipse.xtend.core,2.24.0,https://repo1.maven.org/maven2/org/eclipse/xtend/org.eclipse.xtend.core/2.24.0/org.eclipse.xtend.core-2.24.0-sources.jar
